date,time,temperature (F),humidity (%),barometric_pressure (hPa),weather,wind_speed (m/s),wind_direction (°),dew_point (F),visibility (mi),cloud_cover,ceiling (ft),heat_index (F),wind_chill (F),precipitation_last_hour (in),station_elevation (ft),station_name,species_target,estimated_water_temp (F),fishing_note,pressure_trend
2025-03-29,12:53,39.92,10.169319604125887,1014.9,Light Rain and Fog/Mist,22.32,290,37.04,4.001630478008431,BKN,,,32.092451601241,0.0,2867.45416,KBOI,"Warmwater (e.g., bass)",28.8,Cold front – slow retrieves deep.,Falling
2025-03-29,11:53,39.02,10.227185102286672,1014.9,Cloudy,14.76,270,35.96,9.997862483098704,BKN,,,32.806716302405,,2867.45416,KBOI,"Warmwater (e.g., bass)",31.6,Cold front – slow retrieves deep.,Falling
2025-03-29,10:21,39.02,10.672595389590832,1013.9,Cloudy,11.16,290,37.04,7.997047244094488,OVC,,,33.995965450361,,2867.45416,KBOI,"Warmwater (e.g., bass)",33.4,Cold front – slow retrieves deep.,Falling
2025-03-29,10:00,39.02,10.672595389590832,1013.9,Fog/Mist,11.16,270,37.04,2.0008152390042153,BKN,,,33.995965450361,,2867.45416,KBOI,"Warmwater (e.g., bass)",33.4,Cold front – slow retrieves deep.,Falling
2025-03-29,09:53,39.02,10.672595389590832,1013.9,Fog/Mist,14.76,280,37.04,2.4979121927940824,SCT,,,32.806716302405,,2867.45416,KBOI,"Warmwater (e.g., bass)",31.6,Cold front – slow retrieves deep.,Falling
2025-03-29,08:53,39.02,10.672595389590832,1013.6,Cloudy,14.76,280,37.04,7.997047244094488,OVC,,,32.806716302405,0.0,2867.45416,KBOI,"Warmwater (e.g., bass)",31.6,Cold front – slow retrieves deep.,Falling
2025-03-29,07:53,39.92,9.74491303747395,1012.9,Cloudy,9.36,10,35.96,9.997862483098704,OVC,,,35.786620627911,,2867.45416,KBOI,"Warmwater (e.g., bass)",35.2,Cold front – slow retrieves deep.,Falling
2025-03-29,04:53,42.08,9.393859657469159,1012.2,Cloudy,9.36,330,37.94,9.997862483098704,BKN,,,38.352916241969,,2867.45416,KBOI,"Warmwater (e.g., bass)",37.4,Cold front – slow retrieves deep.,Falling
2025-03-29,03:53,41.0,9.60049445531181,1012.2,Cloudy,0,0,37.04,9.997862483098704,SCT,,,,,2867.45416,KBOI,"Warmwater (e.g., bass)",41.0,Cold front – slow retrieves deep.,Falling
2025-03-29,01:53,41.0,9.199827247617135,1011.5,Cloudy,0,0,35.96,9.997862483098704,OVC,,,,,2867.45416,KBOI,"Warmwater (e.g., bass)",41.0,Cold front – slow retrieves deep.,Falling
